Function name	Segment	Start	Length	Locals	Arguments	R	F	L	M	O	S	B	T	=	X
Com_GetBuildInfoVersion(void)	.text	006B5C40	00000037	00000000		R	.	.	.	.	.	.	T	.	.
Com_GetBuildMachine(void)	.text	006B5B70	00000007	00000000		R	.	.	.	.	.	.	T	.	.
Com_GetBuildMode(void)	.text	006B5BE0	00000006	00000000		R	.	.	.	.	.	.	T	.	.
Com_GetBuildName(void)	.text	006B5BB0	00000009	00000000		R	.	.	.	.	.	.	T	.	.
Com_GetBuildNumber(void)	.text	006B5B60	00000006	00000000		R	.	.	.	.	.	.	T	.	.
Com_GetBuildVersion(void)	.text	006B5AF0	00000068	00000000	00000018	R	.	.	.	.	.	.	T	.	.
Com_GetChangelist(void)	.text	006B5BF0	00000007	0000103C		R	.	.	.	.	.	B	T	.	.
Com_GetClientPlatform(void)	.text	006F3D20	00000007	00000000		R	.	.	.	.	.	.	T	.	.
Com_GetCurrentParseLine(void)	.text	0078C690	0000001B	00000000	0000000C	R	.	.	.	.	.	.	T	.	.
Com_GetDecimalDelimiter(void)	.text	006C0670	00000003	00000000		R	.	.	.	.	.	.	T	.	.
Com_GetEntryForNewLabel	.text	006B99C0	00000095	00000068	0000000D	R	.	.	.	.	.	B	T	.	.
Com_GetExtensionSubString(char const *)	.text	0078DBB0	0000005B	00000000	0000009C	R	.	.	.	.	.	.	T	.	.
Com_GetFilenameSubString(char const *)	.text	0078DB80	00000029	00000000	0000012C	R	.	.	.	.	.	.	T	.	.
Com_GetFreeDObjIndex	.text	006C2040	0000003D	00000000		R	.	.	.	.	.	.	T	.	.
Com_GetHunkStringCopy(char const *)	.text	006B5210	00000053	00000000	00000008	R	.	.	.	.	.	.	T	.	.
Com_GetLastTokenPos(void)	.text	0078CCA0	0000000C	00000000		.	.	.	.	.	.	.	T	.	.
Com_GetLevelSharedFastFile	.text	006BFB90	0000015A	00005008	000000C8	R	.	.	.	.	.	.	T	.	.
Com_GetLightDefName	.text	006B5250	00000007	00000000	0000000C	R	.	.	.	.	.	.	T	.	.
Com_GetParseThreadInfo	.text	0078C360	00000066	00000000	00000028	R	.	.	.	.	.	.	T	.	.
Com_GetPrimaryLight(uint)	.text	004426E0	00000036	00000000	00000008	R	.	.	.	.	.	.	T	.	.
Com_GetPrivateClients(void)	.text	006C07B0	0000004B	00000000		R	.	.	.	.	.	.	T	.	.
Com_GetQTime(int,qtime_s *,bool)	.text	0076B6E0	00000027	00000008	0000000D	R	.	.	.	.	.	.	T	.	.
Com_GetScriptErrorPrefix(void)	.text	0078C740	00000004	00000000		R	.	.	.	.	.	.	T	.	.
Com_GetScriptWarningPrefix(void)	.text	0078C800	00000024	00000000	00000028	R	.	.	.	.	.	.	T	.	.
Com_GetServerDObj(int)	.text	006C1FB0	00000086	00005052	00000004	R	.	.	.	.	.	B	T	.	.
Com_GetTimeScale(void)	.text	006BC700	0000000D	00000000		R	.	.	.	.	.	.	T	.	.
Com_GetTimescaleForSnd(void)	.text	006BF280	0000006F	00000004	00000004	.	.	.	.	.	.	.	T	.	.
Com_GetTokenType(void)	.text	0078D340	00000019	00000000	00000028	R	.	.	.	.	.	.	T	.	.
Com_GetWeaponInfoMemory(void)	.text	006C05E0	00000006	00000000		R	.	.	.	.	.	.	T	.	.
Com_HashCatString(int,char const *,int)	.text	00838250	00000050	00000000	00000010	R	.	.	.	.	.	.	T	.	.
Com_HashKey(char const *,int)	.text	0076B690	0000004C	00000000	0000001C	R	.	.	.	.	.	.	T	.	.
Com_HashString(char const *,int)	.text	0050A100	00000050	00000000	0000000C	R	.	.	.	.	.	.	T	.	.
Com_Init(char *,bool)	.text	006C1820	000000F4	00000010	00000068	R	.	.	.	.	.	.	T	.	.
Com_InitClientGameStates(void)	.text	006B63A0	00000080	00000000	00000008	R	.	.	.	.	.	.	T	.	.
Com_InitDObj(void)	.text	006C2530	00000050	00000000		R	.	.	.	.	.	.	T	.	.
Com_InitDvars	.text	006BDED0	000001FB	00000014	00000101	R	.	.	.	.	.	.	.	.	.
Com_InitDynamicMemorySystems(void)	.text	006C09D0	00000027	00000000		R	.	.	.	.	.	.	T	.	.
Com_InitDynamicRender(void)	.text	006BC690	00000014	00000008		R	.	.	.	.	.	.	T	.	.
Com_InitParse(void)	.text	0078C3D0	000000E2	00000000	00000028	R	.	.	.	.	.	.	T	.	.
Com_InitThreadData(int)	.text	0078E940	0000006F	00000000	0000011C	R	.	.	.	.	.	.	T	.	.
Com_Init_Try_Block_Function	.text	006C0F10	000007CA	0000008C	000000A0	R	.	.	.	.	.	.	T	.	.
Com_InitialHull	.text	00740DB0	00000018	0000000C	00000010	R	.	.	.	.	.	.	T	.	.
Com_IsAddonMap(char const *,char const * *)	.text	00760020	000000E0	00000000	0000000C	R	.	.	.	.	.	.	T	.	.
Com_IsClientConsole(void)	.text	006F3D00	00000011	00000000		R	.	.	.	.	.	.	T	.	.
Com_IsFactionFastfile(char const *)	.text	006B7A00	00000030	00000000	00000008	R	.	.	.	.	.	.	T	.	.
Com_IsLegacyXModelName(char const *)	.text	00790280	00000039	00000000	0000008C	R	.	.	.	.	.	.	T	.	.
Com_IsMenuLevel(char const *)	.text	006BBBF0	00000050	00000000	00000008	R	.	.	.	.	.	.	T	.	.
Com_IsRagdollTrajectory(trajectory_t const *)	.text	0044DDC0	00000045	00000000	00000010	R	.	.	.	.	.	.	T	.	.
Com_IsRunningMenuLevel(char const *)	.text	006BBBA0	00000050	00000000	00002B00	R	F	.	.	.	.	.	T	.	.
Com_LoadBsp(char const *)	.text	006B4B90	0000021D	00000000	00000008	R	.	.	.	.	.	.	T	.	.
Com_LoadBspLump(char const *,LumpType,uint,uint *)	.text	006B4880	0000013C	00000108	00000014	R	.	.	.	.	.	.	T	.	.
Com_LoadCommonFastFile	.text	006BFCF0	0000006D	00000000	000000D0	R	.	.	.	.	.	.	.	.	.
Com_LoadDvarsFromBuffer(char const * * const,uint,char const *,char const *)	.text	00787F40	0000001F	00000000	00000034	R	.	.	.	.	.	.	T	.	.
Com_LoadDvarsFromBufferOptional(char const * * const,bool *,uint,char const *,char const *)	.text	00787990	00000330	00004004	00000040	R	.	.	.	.	.	.	T	.	.
Com_LoadInfoString(char const *,char const *,char const *,char * const)	.text	006B95A0	00000070	00000000	00000024	R	.	.	.	.	.	.	T	.	.
Com_LoadInfoString_FastFile	.text	006B9520	0000007B	00000004	00000014	R	.	.	.	.	.	.	T	.	.
Com_LoadLevelFastFiles(char const *)	.text	006BFDF0	0000034F	00000110	00000010	R	.	.	.	.	.	.	T	.	.
Com_LoadLevelFastFiles_BlockForOverlay(char const *)	.text	006C0140	0000001E	00000000	0000000C	R	.	.	.	.	.	.	T	.	.
Com_LoadPrimaryLight_DiskPrimaryLight_	.text	006B5650	000002EB	00000030	0000000C	R	.	.	.	.	.	.	T	.	.
Com_LoadPrimaryLight_DiskPrimaryLight_Version55_	.text	006B5360	00000029	00000000	00000020	R	.	.	.	.	.	.	T	.	.
Com_LoadPrimaryLights	.text	006B5930	000000F0	00000004	00000004	R	.	.	.	.	.	.	.	.	.
Com_LoadRawTextFile(char const *)	.text	006B9660	00000024	00000000	00000024	R	.	.	.	.	.	.	T	.	.
Com_LoadRawTextFile_FastFile	.text	006B9640	00000022	00000000	00000038	R	.	.	.	.	.	.	T	.	.
Com_LoadRawTextFile_LoadObj	.text	006B9610	00000029	00000004	0000001C	R	.	.	.	.	.	.	T	.	.
Com_LoadWorld(char const *)	.text	006B5AC0	00000024	00000000	00000008	R	.	.	.	.	.	.	T	.	.
Com_LoadWorld_FastFile	.text	006B52E0	0000006E	00000000	00000028	R	.	.	.	.	.	.	T	.	.
Com_LoadWorld_LoadObj	.text	006B5A40	0000007F	00000000	00000008	R	.	.	.	.	.	.	T	.	.
Com_LocalClient_GetControllerIndex(LocalClientNum_t)	.text	006B5D10	00000080	00000008	00000008	R	.	.	.	.	.	.	T	.	.
Com_LocalClient_GetNetworkID(LocalClientNum_t)	.text	006B5D90	00000080	00000000	00000008	R	.	.	.	.	.	.	T	.	.
Com_LocalClient_IsBeingUsed(LocalClientNum_t)	.text	006B5F70	0000004C	00000C28	00000008	R	.	.	.	.	.	.	T	.	.
Com_LocalClient_IsPrimary(LocalClientNum_t)	.text	006B5F10	00000040	00000000	00000008	R	.	.	.	.	.	.	T	.	.
Com_LocalClient_LastInput_Get(LocalClientNum_t)	.text	006B6380	00000012	00000000	00000018	R	.	.	.	.	.	.	T	.	.
Com_LocalClient_LastInput_Set(LocalClientNum_t,LastInput_t)	.text	006B6300	0000007E	00000000	00000018	R	.	.	.	.	.	.	T	.	.
Com_LocalClient_SetBeingUsed(LocalClientNum_t,bool)	.text	006B5FC0	0000006D	00000018	00000009	R	.	.	.	.	.	.	T	.	.
Com_LocalClient_SetControllerIndex(LocalClientNum_t,ControllerIndex_t)	.text	006B5E10	00000043	00000000	0000000C	R	.	.	.	.	.	.	T	.	.
Com_LocalClient_SetPrimary(LocalClientNum_t,bool)	.text	006B5E60	00000059	00000000	00000018	R	.	.	.	.	.	.	T	.	.
Com_LocalClients_AssignUIContextsForInGame(void)	.text	006B5C80	0000000C			R	.	.	.	.	.	.	T	.	.
Com_LocalClients_CompressClients(void)	.text	006B6670	00000170	00000000	000001DC	R	.	.	.	.	.	.	T	.	.
Com_LocalClients_GetPrimary(void)	.text	006B5EC0	00000040	00000000	0000000C	R	.	.	.	.	.	.	T	.	.
Com_LocalClients_GetPrimaryDefault(void)	.text	006B5F00	00000010	00000000	00000004	R	.	.	.	.	.	.	T	.	.
Com_LocalClients_GetUsedControllerCount(void)	.text	006B6090	0000005F	00000000	0000002C	R	.	.	.	.	.	.	T	.	.
Com_LocalClients_NoneBeingUsed(void)	.text	006B6030	0000005B	00000000	0000005D	R	.	.	.	.	.	.	T	.	.
Com_LocalizedFloatToString(float,char *,uint,uint)	.text	006C0680	00000030	00000000	00000024	R	.	.	.	.	.	.	T	.	.
Com_LogFileOpen(void)	.text	006C03B0	00000010	00000000		R	.	.	.	.	.	.	T	.	.
Com_LogPrintMessage	.text	006BBD60	00000070	00000000	00000004	R	.	.	.	.	.	.	T	.	.
Com_MatchToken(char const * *,char const *,int)	.text	0078D360	000000A9	00000000	0000001C	R	.	.	.	.	.	.	T	.	.
Com_Memset(void *,int,int)	.text	0076B7B0	0000000A	00000000	00000010	R	.	.	.	.	.	.	T	.	.
Com_NTPSync_f	.text	006BBAE0	000000C0	00000000	00000074	R	.	.	.	.	.	.	.	.	.
Com_NetworkID_GetControllerIndex(netsrc_t)	.text	006B6250	00000036	00000000	00000008	R	.	.	.	.	.	.	T	.	.
Com_OnSameTeam(team_t,team_t)	.text	0046C970	0000001A	00000000	0000000C	R	.	.	.	.	.	.	T	.	.
Com_OpenLogFile	.text	006BBCB0	000000A8	00000008		R	.	.	.	.	.	.	.	.	.
Com_PacketEventLoop	.text	006BD5F0	0000009D	00000018	00000030	R	.	.	.	.	.	.	T	.	.
Com_Parse(char const * *)	.text	0078D290	0000004A	00000000	0000001C	R	.	.	.	.	.	.	T	.	.
Com_Parse1DMatrix(char const * *,int,float *)	.text	0078D930	000001CA	00000000	00000124	R	.	.	.	.	.	.	T	.	.
Com_ParseCSV	.text	0078CCB0	000000F5	00000018	0000000C	R	.	.	.	.	.	.	T	.	.
Com_ParseCommandLine	.text	006BCC70	00000045	0000000C	00000005	R	.	.	.	.	.	.	T	.	.
Com_ParseExt	.text	0078CDB0	000004D2	00000014	0000002C	R	.	.	.	.	.	.	T	.	.
Com_ParseFloat(char const * *)	.text	0078D740	00000050	00000000	00000070	R	.	.	.	.	.	.	T	.	.
Com_ParseFloatOnLine(char const * *)	.text	0078D790	0000006D	00000000	0000002C	R	.	.	.	.	.	.	T	.	.
Com_ParseInt(char const * *)	.text	0078D800	00000050	00000000	000000F8	R	.	.	.	.	.	.	T	.	.
Com_ParseIntOnLine(char const * *)	.text	0078D850	0000006A	00000000	000000B0	R	.	.	.	.	.	.	T	.	.
Com_ParseOnLine(char const * *)	.text	0078D2E0	00000055	00000000	0000001C	R	.	.	.	.	.	.	T	.	.
Com_ParseRestOfLine(char const * *)	.text	0078D640	000000FF	00000124	00000028	R	.	.	.	.	.	.	T	.	.
Com_ParseReturnToMark(char const * *,com_parse_mark_t *)	.text	0078CB60	000000A0	00000000	00000028	R	.	.	.	.	.	.	T	.	.
Com_ParseSetMark(char const * *,com_parse_mark_t *)	.text	0078CAC0	00000099	00000000	00000028	R	.	.	.	.	.	.	T	.	.
Com_ParseUIntOnLine(char const * *)	.text	0078D8C0	0000006A	00000000	0000010C	R	.	.	.	.	.	.	T	.	.
Com_PrintError(int,char const *,...)	.text	006BC330	00000070	00000000	00004B74	R	.	.	.	.	.	.	T	.	.
Com_PrintMessage(int,char const *,int)	.text	006BBDD0	00000062	00000044	00000010	R	.	.	.	.	.	.	T	.	.
Com_PrintStackTrace(int,void (*)(char const *))	.text	006BC820	00000061	00000000	00000024	R	.	.	.	.	.	.	T	.	.
Com_PrintWarning(int,char const *,...)	.text	006BC3F0	0000029E	00001044	0000000C	R	.	.	.	.	.	.	T	.	.
Com_Printf(int,char const *,...)	.text	006BC010	0000028D	00001044	0000000C	R	.	.	.	.	.	.	T	.	.
Com_Quit_f(void)	.text	006C0830	000000D0	000000C8		R	.	.	.	.	.	.	T	.	.
Com_ReadLumpOutOfBsp	.text	006B4760	00000118	0000001C	00000010	R	.	.	.	.	.	.	T	.	.
Com_ReadLumpOutOfBspAtOffset	.text	006B46F0	0000006E	00000000	00000018	R	.	.	.	.	.	.	T	.	.
Com_RealTime(qtime_s *,bool)	.text	0076B760	00000001	00000000	00000009	.	.	.	.	.	.	.	T	.	.
Com_RecursivelyGrowHull	.text	00741000	00000569	00000018	00000034	R	.	.	.	.	.	.	T	.	.
Com_RenderVoiceFrame(void)	.text	00514990	00000040	00000004		R	.	.	.	.	.	.	T	.	.
Com_ResetFrametime(void)	.text	006C01C0	00000004	00000000	0000280F	R	F	.	.	.	.	.	T	.	.
Com_ResetParseSessions(void)	.text	0078C5C0	00000010	00000000	00000020	R	.	.	.	.	.	.	T	.	.
Com_ResetSlowMotion(void)	.text	006BF400	0000002D	00000000	00000024	R	.	.	.	.	.	.	T	.	.
Com_RunAutoExec(LocalClientNum_t,ControllerIndex_t)	.text	006BED20	0000001E	00000000	0000000C	R	.	.	.	.	.	.	T	.	.
Com_SafeClientDObjFree(int,LocalClientNum_t)	.text	006C2340	0000004C	00000004	0000000C	R	.	.	.	.	.	.	T	.	.
Com_SafeMode(void)	.text	006BCCC0	00000124	00000000	00000004	R	.	.	.	.	.	.	T	.	.
Com_SafeServerDObjFree(int)	.text	006C2470	0000004B	00000000	00000008	R	.	.	.	.	.	.	T	.	.
Com_SaveDvarsToBuffer(char const * * const,uint,char *,uint)	.text	00775BA0	00000109	00000004	00000014	R	.	.	.	.	.	.	T	.	.
Com_SaveLump(LumpType,void const *,uint,ComSaveLumpBehavior)	.text	006B4F10	0000004A	00000508	00000014	R	.	.	.	.	.	.	T	.	.
Com_ScriptError(char const *,...)	.text	0078C8F0	000000B6	00001004	00000028	R	.	.	.	.	.	.	T	.	.
Com_ScriptErrorDrop(char const *,...)	.text	0078C830	000000B5	00001004	00000028	R	.	.	.	.	.	.	T	.	.
Com_ScriptWarning(char const *,...)	.text	0078C9B0	000000B5	00001004	00000028	R	.	.	.	.	.	.	T	.	.
Com_ServerDObjCreate(DObjModel_s *,ushort,XAnimTree_s *,int)	.text	006C2200	00000139	00000000	00000020	R	.	.	.	.	.	.	T	.	.
Com_ServerPacketEvent(void)	.text	006BD8F0	00000133	00000050	0000005D	R	.	.	.	.	.	.	T	.	.
Com_SessionMode_CanPauseZombiesGame(void)	.text	006BB7F0	00000020	00000000		R	.	.	.	.	.	.	T	.	.
Com_SessionMode_IsMode(eSessionModes)	.text	006BB610	0000001E	00000000	0000006D	R	.	.	.	.	.	.	T	.	.
Com_SessionMode_IsOnlineGame(void)	.text	006BB740	0000000C	00000000		R	.	.	.	.	.	.	T	.	.
Com_SessionMode_IsPrivateOnlineGame(void)	.text	006BB7A0	0000001A	00000000	00000090	R	.	.	.	.	.	.	T	.	.
Com_SessionMode_IsPublicBotGame(void)	.text	006BB900	0000002D	00000000		R	.	.	.	.	.	.	T	.	.
Com_SessionMode_IsPublicOnlineGame(void)	.text	006BB7C0	00000018	00000000	00000098	R	.	.	.	.	.	.	T	.	.
Com_SessionMode_IsZombiesGame(void)	.text	006BB7E0	0000000D	00000000	00000099	R	.	.	.	.	.	.	T	.	.
Com_SessionMode_ReadModes(msg_t *)	.text	006BB680	000000BD	00000000	000000B4	R	.	.	.	.	.	.	T	.	.
Com_SessionMode_ResetModes(void)	.text	006BB810	000000AF	00000000	000000B0	R	.	.	.	.	.	.	T	.	.
Com_SessionMode_SetMode(eSessionModes,bool)	.text	006BB750	0000004D	00000000	0000008C	R	.	.	.	.	.	.	T	.	.
Com_SessionMode_SetOnlineGame(bool)	.text	006BB8C0	0000003A	00000010	00000080	R	.	.	.	.	.	.	T	.	.
Com_SessionMode_WriteModes(msg_t *)	.text	006BB630	0000004D	00000000	0000008C	R	.	.	.	.	.	.	T	.	.
Com_SetCSV(int)	.text	0078C630	00000026	00000000	0000002C	R	.	.	.	.	.	.	T	.	.
Com_SetErrorMessage(char const *)	.text	006BC7D0	0000004B	00000000	00000008	R	.	.	.	.	.	.	T	.	.
Com_SetKeepStringQuotes(int)	.text	0078C600	00000027	00000000	00000018	R	.	.	.	.	.	.	T	.	.
Com_SetLocalizedErrorMessage(char const *,char const *)	.text	006BC770	0000005F	00000000	0000000C	R	.	.	.	.	.	.	T	.	.
Com_SetParseNegativeNumbers(int)	.text	0078C660	00000025	00000000	00000028	R	.	.	.	.	.	.	T	.	.
Com_SetPrivateClients(int)	.text	006C1780	00000050	00000000	00000078	R	.	.	.	.	.	.	T	.	.
Com_SetScriptErrorPrefix(char const *)	.text	0078C6B0	00000088	00000000	00000028	R	.	.	.	.	.	.	T	.	.
Com_SetScriptWarningPrefix(char const *)	.text	0078C770	00000085	00000000	0000002C	R	.	.	.	.	.	.	T	.	.
Com_SetSlowMotion(float,float,int)	.text	006BF2F0	00000103	00000008	00000010	R	.	.	.	.	.	.	T	.	.
Com_SetSlowMotionDelayed(float,float,int,int)	.text	006BF430	00000040	00000000	00000014	.	.	.	.	.	.	.	T	.	.
Com_SetSpaceDelimited(int)	.text	0078C5D0	00000027	00000000	00000020	R	.	.	.	.	.	.	T	.	.
Com_SetTimeScale(float)	.text	006BC710	00000013	00000004	00000008	R	.	.	.	.	.	.	T	.	.
Com_SetWeaponInfoMemory(int)	.text	006C05B0	0000000E	00000000	00000008	R	.	.	.	.	.	.	T	.	.
Com_Shutdown(char const *)	.text	006C17D0	00000050	00000000	00000080	R	.	.	.	.	.	.	T	.	.
Com_ShutdownDObj(void)	.text	006C2580	00000016	00000000		R	.	.	.	.	.	.	T	.	.
Com_ShutdownDynamicMemorySystems(void)	.text	006BC6E0	0000000F	00000000		R	.	.	.	.	.	.	T	.	.
Com_ShutdownWorld(void)	.text	006B5350	00000002	00000000		R	.	.	.	.	.	.	T	.	.
Com_SkipBracedSection(char const * *,uint,int)	.text	0078D410	000000ED	00000004	0000001C	R	.	.	.	.	.	.	T	.	.
Com_SkipRestOfLine(char const * *)	.text	0078D500	00000045	00000000	00000010	R	.	.	.	.	.	.	T	.	.
Com_StartupProcessSetCommand	.text	006BCDF0	0000009B	0000010C	00000008	R	.	.	.	.	.	.	T	.	.
Com_StartupVariable(char const *)	.text	006BD040	00000021	00000000	00000008	R	.	.	.	.	.	.	T	.	.
Com_StripExtension(char const *,char *)	.text	0078DC10	00000030	00000000	0000000C	R	.	.	.	.	.	.	T	.	.
Com_SurfaceBounceScale(int)	.text	00791230	00000083	00000004	0000001C	R	.	.	.	.	.	.	T	.	.
Com_SurfaceDensity(int)	.text	007910D0	000000D0	00000000	0000004C	R	.	.	.	.	.	.	T	.	.
Com_SurfaceFloats(int)	.text	007910B0	00000020	00000000	00000008	R	.	.	.	.	.	.	T	.	.
Com_SurfaceFrictionScale(int)	.text	007911A0	0000008C	0000000C	0000004C	R	.	.	.	.	.	.	T	.	.
Com_SurfaceTypeFromName(char const *)	.text	00790FE0	00000069	00000000	00000034	R	.	.	.	.	.	.	T	.	.
Com_SurfaceTypeToName(int)	.text	00791050	00000060	00000000	00000008	R	.	.	.	.	.	.	T	.	.
Com_SyncThreads(void)	.text	006C06C0	0000002F			R	.	.	.	.	.	.	T	.	.
Com_TempMeminfo_f(void)	.text	007697B0	00000043	00000000	00000064	R	.	.	.	.	.	.	T	.	.
Com_TranslatePoints	.text	00741820	000000D7	00000000	0000002C	R	.	.	.	.	.	.	T	.	.
Com_UngetToken(void)	.text	0078CA70	00000049	00000000	00000018	R	.	.	.	.	.	.	T	.	.
Com_UnloadBsp(void)	.text	006B4DB0	00000071	00000000	00000004	R	.	.	.	.	.	.	T	.	.
Com_UnloadBspLump(LumpType)	.text	006B49C0	0000007C	00000000	00000008	R	.	.	.	.	.	.	T	.	.
Com_UnloadFrontEnd(bool)	.text	006C0160	00000060	0000000C	00000018	R	.	.	.	.	.	.	T	.	.
Com_UnloadLevelFastFiles(void)	.text	006BFD80	00000066	00000018		R	.	.	.	.	.	.	T	.	.
Com_UnloadRawTextFile(char const *)	.text	006B9690	00000020	00000000	0000001C	R	.	.	.	.	.	.	T	.	.
Com_UnloadWorld(void)	.text	006B44D0	00000047	00000000	00000004	R	.	.	.	.	.	.	T	.	.
Com_UseRawUDP(void)	.text	006C0820	0000000F	00000000		R	.	.	.	.	.	.	T	.	.
Com_ValidateBspLumpData	.text	006B4560	000000D6	00000000	00000038	R	.	.	.	.	.	.	T	.	.
Com_ViewScaleMsec(float)	.text	006BF470	000000CF	00000060	0000002C	R	.	.	.	.	.	.	T	.	.
Com_WriteConfigToFile	.text	006BEDF0	00000056	00000000	0000003C	R	.	.	.	.	.	.	T	.	.
Com_WriteConfig_f(void)	.text	006BEE60	00000128	00000084	00000030	R	.	.	.	.	.	.	T	.	.
Com_WriteDefaults_f(void)	.text	006BF110	0000002E	00000084	0000000C	R	.	.	.	.	.	.	T	.	.
Com_WriteKeyConfig_f(void)	.text	006BEF90	00000085	00000084	00000016	R	.	.	.	.	.	.	T	.	.
Com_XAnimCreateSmallTree(XAnim_s *)	.text	006C0570	00000017	00000000	00000008	R	.	.	.	.	.	.	T	.	.
Com_XAnimFreeSmallTree(XAnimTree_s *)	.text	006C0590	00000053	00000000	00000008	R	.	.	.	.	.	.	T	.	.
Com_isFullyInitialized(void)	.text	006BEE50	00000010	00000000	0000001C	R	.	.	.	.	.	.	T	.	.
Com_sprintf(char *,int,char const *,...)	.text	0078E730	00000028	00000000	00000084	R	.	.	.	.	.	.	T	.	.
Com_sprintfPos(char *,int,int *,char const *,...)	.text	0078E760	0000005E	00000000	000000D4	R	.	.	.	.	.	.	T	.	.
Command_Parse(char const * *,char *,int)	.text	0071E1E0	000000D3	00000040	00000014	R	.	.	.	.	.	.	T	.	.
CommonAddrToInAddr	.text	0055F0C0	000000AE	00000000	0000000C	R	.	.	.	.	.	.	T	.	.
CompareCaseInfo(void const *,void const *)	.text	008216A0	0000001C	00000000	0000000C	R	.	.	.	.	.	.	T	.	.
CompareChallengeEntries	.text	0050AFA0	000000E5	00000000	0000000C	R	.	.	.	.	.	.	T	.	.
CompareClient	.text	005D4DB0	0000006F	00000000	0000001C	R	.	.	.	.	.	.	T	.	.
CompareFitness	.text	00522630	0000002C	00000000	0000000C	R	.	.	.	.	.	.	T	.	.
CompareFunction	.text	00870590	0000000F	00000000	00000008	R	.	.	.	.	.	.	T	.	.
CompareHashedMaterialTextures	.text	00A4D630	00000018	00000038	0000000C	R	.	.	.	.	.	B	T	.	.
CompareRawMaterialTextures	.text	00A4D5F0	0000003A	00000000	0000000C	R	.	.	.	.	.	.	T	.	.
CompareStaticModels	.text	00A9CFB0	00000014	0000001C	00000008	R	.	.	.	.	.	B	T	.	.
CompareTechSetNames	.text	0069E080	0000003C	00000000	00000010	R	.	.	.	.	.	.	T	.	.
CompileError2(scriptInstance_t,uchar *,char const *,...)	.text	00833CF0	00000127	00000804	00000079	R	.	.	.	.	.	.	T	.	.
CompileTransferRefToString	.text	00820120	00000070	00000000	00000008	R	.	.	.	.	.	.	T	.	.
CompleteCmdArgument	.text	004FD850	000000B0	00000004	00000014	R	.	.	.	.	.	.	.	.	.
CompleteCommand	.text	004FDA80	00000080	0000012C	00000014	R	.	.	.	.	.	.	T	.	.
CompressAngle(float)	.text	004BA440	00000060	00000000	00000008	R	.	.	.	.	.	.	T	.	.
CompressSignedUnit(float)	.text	00645BA0	0000006B	00000000	00000039	R	.	.	.	.	.	.	T	.	.
ConDrawInput_AutoCompleteArg	.text	004F6510	000002F3	00000468	000000B2	R	.	.	.	.	.	.	T	.	.
ConDrawInput_Box	.text	004F5E50	0000005C	00000000	00000010	R	.	.	.	.	.	.	T	.	.
ConDrawInput_CmdMatch	.text	004F6F30	00000080	0000003C	0000000C	R	.	.	.	.	.	B	T	.	.
ConDrawInput_DetailedCmdMatch	.text	004F6DB0	00000174	00000018	0000000C	R	.	.	.	.	.	.	T	.	.
ConDrawInput_DetailedDvarMatch	.text	004F68E0	00000075	00000420	0000000C	R	.	.	.	.	.	.	T	.	.
ConDrawInput_DvarMatch	.text	004F63A0	00000023	00000000	00000008	R	.	.	.	.	.	.	T	.	.
ConDrawInput_GetDvarDescriptionLines	.text	004F6880	0000005E	00000000	00000008	R	.	.	.	.	.	.	T	.	.
ConDrawInput_IncrMatchCounter	.text	004F6340	00000060	00000000	00000008	R	.	.	.	.	.	.	T	.	.
ConDrawInput_Text	.text	004F5A50	00000089	00000008	00000008	R	.	.	.	.	.	.	T	.	.
ConDrawInput_TextAndOver(LocalClientNum_t,char const *,vec4_t const &)	.text	004F5B70	0000005E	00000000	00000024	R	.	.	.	.	.	.	T	.	.
ConDrawInput_TextFieldFirstArgChar	.text	004F6480	00000014	00000000		R	.	.	.	.	.	.	T	.	.
ConDrawInput_TextLimitChars	.text	004F5AE0	0000008A	00000000	00000028	R	.	.	.	.	.	.	T	.	.
ConDraw_Box	.text	004F5C00	00000071	00000014	00000014	R	.	.	.	.	.	.	T	.	.
ConWndProc	.text	0079D6C0	000000DD	00000004	00000024	R	.	.	.	.	.	.	T	.	.
Con_AllowAutoCompleteCycling(bool)	.text	004F7280	0000000E	00000000	00000005	R	.	.	.	.	.	.	T	.	.
Con_AnySpaceAfterCommand(void)	.text	004F59F0	0000005E	00000000	00000070	R	.	.	.	.	.	.	T	.	.
Con_AutoCompleteFromList(char const * * const,uint,char const *,char * const,uint)	.text	004F5900	00000095	00000000	00000020	R	.	.	.	.	.	.	T	.	.
Con_Bottom(void)	.text	004F8BF0	0000000C			R	.	.	.	.	.	.	T	.	.
Con_CancelAutoComplete(void)	.text	004F7250	00000029	00000000		R	.	.	.	.	.	.	T	.	.
Con_ChannelList_f	.text	00514CF0	0000003F	00000000	00000098	R	.	.	.	.	.	.	.	.	.
Con_ChatModePublic_f	.text	004F3960	00000014	00000000		R	.	.	.	.	.	.	.	.	.
Con_CheckResize(void)	.text	004F3F50	00000184	00000000	0000003C	R	.	.	.	.	.	.	T	.	.
Con_ClearMessageWindow	.text	004F3E00	0000012E	00000014	00000034	R	.	.	.	.	.	.	T	.	.
Con_Clear_f	.text	004F41F0	0000001A	00000000	00000034	R	.	.	.	.	.	.	.	.	.
Con_Close(LocalClientNum_t)	.text	004F8C00	00000018	00000000	00000008	R	.	.	.	.	.	.	T	.	.
Con_CommitToAutoComplete(void)	.text	004FA140	000000CF	00000000	00000030	R	.	.	.	.	.	.	T	.	.
